zone_id,Zone,Current Merchants,Category Diversity,Approx Area km2,Density per km2,Avg NN Dist km,Essentials Gap Index,Zone Score,Zone Rank,Next 500 Slots,Current Monthly GMV (Modelled),New Monthly GMV (Ramp 75%),Post-500 Monthly GMV
0,West Corridor (Dansoman / Mallam / Weija),71,11,55.351545727851345,1.2827103392755803,0.25314680220501046,0.5787754303599373,41.2,6,71,1066419.0,1203459.0,2269878.0
1,East Corridor (Spintex / Sakumono),68,11,36.3911987338582,1.8685836786336232,0.20876124651100958,0.5276365546218488,49.9,2,86,1254207.0,1437176.0,2691383.0
2,North-East Corridor (East Legon / Madina / Haatso),90,11,82.91341880410843,1.0854696537436763,0.2509779429501289,0.38169973544973546,49.3,3,85,1598552.0,1422954.0,3021506.0
3,North-West Corridor (Achimota / Lapaz / Atomic),63,12,34.10470980596614,1.8472521935659174,0.2222076869388394,0.5203628117913832,43.4,4,75,1061385.0,1337405.0,2398790.0
4,Tema Corridor (Tema / Ashaiman),26,8,44.47426157294947,0.5846077951705431,0.8082874386080948,0.6453846153846153,41.9,5,72,430200.0,1058400.0,1488600.0
5,Central Accra (Circle / Kokomlemle / Adabraka),117,11,41.92026291436077,2.7910130296420186,0.12707924234771278,0.42288427621760954,64.8,1,111,2406720.0,1976715.0,4383435.0
